cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
155991000181,155991,MATRIZ,ELEKTI - APOIO A EDUCACAO E FORNECIMENTO DE BOLSAS DE ESTUDOS LTDA,NAO,40000
606458000199,606458,MATRIZ,MERCODATA ENGENHARIA DE SISTEMAS LTDA,NAO,50000
714851000104,714851,MATRIZ,MKT SERVICOS DE MARKETING E TECNOLOGIA - EIRELI,NAO,320000
841331000154,841331,MATRIZ,SOFTNEW SISTEMAS E CONSULTORIA EM INFORMATICA LTDA,SIM,15000
846686000136,846686,MATRIZ,HORUS INFORMATICA LTDA,NAO,200000
1302359000186,1302359,MATRIZ,UNIWARE CONS E COMERCIO DE EQUIP P/ INFORMATICA LTDA,NAO,60000
1412181000126,1412181,MATRIZ,DIFERENZA CONSULTORIA EM TECNOLOGIA EIRELI,NAO,600000
1493662000103,1493662,MATRIZ,TRIPLICE CONSULTORIA E SERVICOS LTDA,SIM,50000
1579286000174,1579286,MATRIZ,SAFEWEB SEGURANCA DA INFORMACAO LTDA.,NAO,10100000
1718839000122,1718839,MATRIZ,E. SILVA CONSULTORIA LTDA,NAO,20000
2265894000177,2265894,MATRIZ,ISO ENTERPRISE INFORMATICA LTDA,NAO,259999
2306226000140,2306226,MATRIZ,LUME SERVICOS DE TECNOLOGIA S/A,NAO,5000000
2314840000154,2314840,MATRIZ,UNIDAC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,100000
2318794000161,2318794,MATRIZ,EVERTON RAMOS DE MORAES EIRELI,SIM,105000
2437196000101,2437196,MATRIZ,"LUMINA - INFORMATICA, CONSULTORIA E SERVICOS LTDA",SIM,20000
2513147000100,2513147,MATRIZ,BENDITO LTDA,NAO,24000
2622879000139,2622879,MATRIZ,C R NET LTDA,SIM,60000
2716083000145,2716083,MATRIZ,BRAZPINE SERVICE SERVICOS PROCESSOS TECNOLOGIA LTDA,NAO,100000
2816751000106,2816751,MATRIZ,PARADIGMA BUSINESS SOLUTIONS LTDA,NAO,4000000
2904609000110,2904609,MATRIZ,FATOR I CONSULTORIA LTDA,NAO,25000
2908992000185,2908992,MATRIZ,EXECUCAO GESTAO E CONSULTORIA EM INFORMATICA LTDA.,NAO,1500000
3078155000139,3078155,MATRIZ,CABLING TELECOM E CONSULTORIA EIRELI,NAO,95400
3158860000146,3158860,MATRIZ,PELISSARI INFORMATICA SA,NAO,6500500
3182155000184,3182155,MATRIZ,ECORE SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA.,NAO,300000
3271868000114,3271868,MATRIZ,GUIAINVEST SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,NAO,48503
3339370000146,3339370,MATRIZ,INTERACT SOLUTIONS LTDA,NAO,1000000
3456658000109,3456658,MATRIZ,PLANETAWEB INFORMATICA LTDA,SIM,50000
3624861000139,3624861,MATRIZ,HANDS ON TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
3650551000199,3650551,MATRIZ,WELAB.BUSINESS COMUNICACAO DIGITAL EIRELI,NAO,250000
3693940000100,3693940,MATRIZ,E-PEOPLE SOLUCOES LTDA,NAO,1425000
3768803000189,3768803,MATRIZ,MITI - MIDIA INTERATIVA E TECNOLOGIA DA INFORMACAO LTDA,NAO,5472116
3842870000104,3842870,MATRIZ,FERAWEB INFORMATICA LTDA,NAO,15000
3869517000100,3869517,MATRIZ,AMBX TECNOLOGIA LTDA,NAO,500000
3942659000155,3942659,MATRIZ,VIGA NETSTORE LTDA,NAO,60000
4055601000152,4055601,MATRIZ,BECOMEX CONSULTORIA LTDA,NAO,282002
4055839000188,4055839,MATRIZ,TEROS INFORMATICA LTDA,SIM,10000
4067290000141,4067290,MATRIZ,DHBYTE SOFTWARE ESPECIALISTA S/S LTDA,NAO,10000
4121834000106,4121834,MATRIZ,MACNICA DHW LTDA,NAO,21350251
4340744000106,4340744,MATRIZ,TECHNORIVER INFORMATICA LTDA,SIM,10000
4358494000131,4358494,MATRIZ,CINQ TECHNOLOGIES LTDA,NAO,7990586
4363802000117,4363802,MATRIZ,NASCENT CONSULTORIA LTDA,NAO,10000
4432166000138,4432166,MATRIZ,ROBERTO DE SOUZA PASQUALOTTO & CIA LTDA,NAO,20000
4570566000100,4570566,MATRIZ,SEGWARE DO BRASIL LTDA,NAO,650000
4864355000180,4864355,MATRIZ,VIAFLOW CONSULTORIA E SISTEMAS LTDA,NAO,70000
4915134000193,4915134,MATRIZ,DRZ GEOTECNOLOGIA E CONSULTORIA LTDA,NAO,2000000
5023602000188,5023602,MATRIZ,ASSERTIVA TECH CONSULTORIA EM TI LTDA,SIM,8000
5050074000156,5050074,MATRIZ,IMMEDIATE CONSULTORIA E SISTEMAS LTDA,NAO,250000
5110958000159,5110958,MATRIZ,GTI GESTAO DA TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
5138645000109,5138645,MATRIZ,M2A TECNOLOGIA E GESTAO DA INFORMACAO - EIRELI,NAO,67800
5151009000117,5151009,MATRIZ,SMART CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
5159145000153,5159145,MATRIZ,"IDDEIA COMERCIO, LOCACAO E SOLUCOES TECNOLOGICAS EIRELI",NAO,4500000
5332252000131,5332252,MATRIZ,KIONUX SOLUCOES EM INTERNET LTDA,NAO,34000
5337875000105,5337875,MATRIZ,NEOWAY TECNOLOGIA INTEGRADA ASSESSORIA E NEGOCIOS SA,NAO,113860009
5357530000105,5357530,MATRIZ,GLOBALWIDE TECNOLOGIA E INFORMATICA LTDA,SIM,10000
5401067000151,5401067,MATRIZ,TEIKO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000
5422311000162,5422311,MATRIZ,KAIZENDO SOLUCOES E SISTEMAS PARA MELHORIA LTDA,SIM,240000
5448669000164,5448669,MATRIZ,MAURICIO RIBEIRO INFORMATICA LTDA,SIM,100000
5451225000188,5451225,MATRIZ,OPSERVICES TECNOLOGIA DA INFORMACAO S.A,NAO,400000
5488710000126,5488710,MATRIZ,APICE -REPRESENTACAO E INTEGRACAO DE SISTEMAS EIRELI,NAO,103000
5531121000183,5531121,MATRIZ,INTERGATE CONSULTORIA DIGITAL LTDA,NAO,78800
5546793000162,5546793,MATRIZ,GO ON CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,600000
5550374000102,5550374,MATRIZ,DLB TECNOLOGIA LTDA,NAO,6848380
5594470000144,5594470,MATRIZ,TRAJECTA SISTEMAS DE INFORMATICA LTDA,NAO,10000
5617100000185,5617100,MATRIZ,"BUNDT CONSULTORIA, EDUCACAO & PARTICIPACOES LTDA",NAO,30000
5620370000145,5620370,MATRIZ,SUPERINTEROP SUPORTE EM INFORMATICA LTDA,NAO,20000
5809591000166,5809591,MATRIZ,BR CAPTURA - EMPRESA BRASILEIRA DE REDE DE CAPTURA S.A,NAO,200000
5895166000137,5895166,MATRIZ,FSK INFORMATICA LTDA,NAO,20000
5906225000125,5906225,MATRIZ,AUDARE INFORMATICA SS LTDA,NAO,210000
5996262000171,5996262,MATRIZ,MASTER&PRO CONSULTORIA E DESENVOLVIMENTO DE PROGRAMAS LTDA,SIM,10000
6015379000190,6015379,MATRIZ,FIAPO LABS TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
6074087000128,6074087,MATRIZ,ZERO-DEFECT INFORMATICA LTDA,NAO,100000
6153856000183,6153856,MATRIZ,ISOLVE - SOLUCOES EM INFORMATICA LTDA,SIM,15000
6185897000151,6185897,MATRIZ,ATGMASTERS LTDA,NAO,10000
6277224000121,6277224,MATRIZ,EQUIPE DIGITAL TECNOLOGIA LTDA,SIM,70000
6290671000110,6290671,MATRIZ,AMBIENTE LIVRE ASSESSORIA EM SISTEMAS DE INFORMATICA LTDA,SIM,120000
6320344000164,6320344,MATRIZ,GSW SUL SOLUCOES DE INFORMATICA LTDA,NAO,50000
6867750000141,6867750,MATRIZ,ITECNOLOGYS CONSULTORIA EM SISTEMAS LTDA,SIM,300000
